domain,averageSubjectivity
cnn,0.4167671175653275
nature,0.43538046418783477
theguardian,0.42445113538885
sciencemag,0.42159857853327776
express,0.4027464781443142
cnbc,0.39516845914772153
bbc,0.43279831556909293
reuters,0.38743339447125436
theverge,0.4258099754419425
globalbankingandfinance,0.4018745300811878
sciencedaily,0.44898031246632175
wired,0.3174685470779221
oilprice,0.41935272800787987
theatlantic,0.4358841099680396
independent,0.4192692696657052
techcrunch,0.42099401120175894
venturebeat,0.4041421316487344
mashable,0.4656373731520609
inc,0.4494514390644903
themoscowtimes,0.4135185258210524
globalcapital,0.421373447347888
dzone,0.45717656726115413
finsmes,0.378470167902424
smart2zero,0.4339097257185034
thefintechtimes,0.4251922280082206
altassets,0.38217031495440584
iotworldtoday,0.4611847626225903
med-technews,0.43500753458035973
emerj,0.452162976222832
